用户ID,用户等级,评论内容,评分,商品型号,购买时间,购买地点,评论图片
6d7d854fa6b9e7198118a9230d0440f0,,🎧耳机真不错。通勤、学习、运动都能用，降噪好。佩戴轻，耳帽软，久戴无不适。音质佳，低音厚、中音清、高音亮，听各类音乐都超赞，还原度高，体验感满分。😎,5,小钱包-流光银,2024-11-18,江苏,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/177796/36/52738/48658/673b4910Fbd7790d3/71ecfeec01e5949d.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/164622/33/37794/71283/673b4911F0f18e917/1f37931445df3e59.jpg']"
b7668351fd092f101e9a42b7fe6e4196,,"当天下单，当天就收到了，迫不及待地戴上。果然比入耳式的佩戴上舒服不少。耳机很轻，戴上之后感觉不到重量，既卡得住也不会勒得慌，可以确定不会自己掉出去。以后骑车、滑板戴着也安心。
早上在办公室里和豆包聊了一会，读了新闻，推荐了几本书，体验上还挺好。",5,小钱包-流光银,2024-11-19,广东,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/121873/13/48589/706171/673bf1b1F75d14f6b/453c9cb973869664.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/185464/19/52063/311150/673bf1b4F65e4885f/4e76e1335f0b666f.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/246094/29/23730/569630/673bf1b6F1e61c4f9/1559c7cd174c9274.jpg']"
d746ef944ae4da2f9dcd1d485c66b62d,PLUS会员,"银色颜值不错，不枉等了好多天，佩戴舒适，质感很好 ，和shokz open fit接近。
不过不耐脏倒是真的。
主要是可以随时的呼唤豆包，这一点还是很有意思的，当然了，也是为了这个买的。",5,小钱包-流光银,2024-10-26,北京,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/131632/32/47240/1920899/671c6fdeFaf4e20f1/db23bbd87e4bb48c.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/161438/38/50472/1782552/671c6fdfFeed89ec0/896da948518f9aa1.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/135128/10/50245/2269290/671c6fdfFd34b50e6/0e3155b80ab237cb.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/207016/21/45993/2531975/671c6fdfF0d9d4424/c0bc8481e3093057.jpg']"
bc9725db669aa61e53eec5bfc836d4c4,PLUS会员,"惊艳到了
先说外观，小包包的耳机盒子，萌萌哒，颜色好看很正
音质效果不错，听歌的时候带着很舒服
通话声音很清晰，没有杂音，对方完全听不出来噪音，跟手机放在耳边说话一样的效果
当我说要买蓝牙耳机的时候，对象立马推荐这款，开始没想买，耐不住他一直推荐，买了试试，真是惊艳到我了
值得拥有
做工质感：舒服
音质音效：不错
舒适度：满分
续航能力：强大",5,小钱包-流光银,2024-10-31,天津,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/103240/35/53405/3698515/6723452aF88653c06/791cec26bc4e0aca.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/148464/36/44128/3501009/6723452aF99857457/6134f102f0f4d901.jpg']"
03bb5be7c90188624e1958b9424620e1,PLUS会员,"东西已经收到了
做工质感：很舒服，摸起来感觉挺好
音质音效：挺不错的，
舒适度：我主要个人问题，只能带这类型的，要不耳朵挂不住，很舒服
续航能力：很棒",5,小钱包-蝶翼黑,2024-10-31,福建,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/238505/5/19905/95236/67235625Ff40d0b2d/38b76b1d854c69e5.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/244526/30/22294/2334283/67235625Fdabbc66b/4b9cdaf3ef054eba.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/249787/11/22565/2670938/67235625Ff08453e4/93da0f9a11ae6b25.jpg']"
1760d874717b076726d8c997190d776c,PLUS会员,"产品关联豆包，语音交互功能瞬间强大，话痨般跟豆包聊到了黎曼猜想
开车时自动调低交互体验，提醒安心开车，很智能",5,小钱包-流光银,2024-10-26,北京,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/216360/16/46580/262359/671c74ceFa522ada0/d90d52629c5cd5e1.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/242837/1/20947/238130/671c74ceF9bc0cfe6/7040cda96ca3d55a.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/217283/11/44473/348444/671c74ceF97f91ffc/90d383c82fe85b46.jpg']"
3cc522e1b74e4ffbe8d6d4b0321b71b1,PLUS会员,外观非常不错，加入豆包功能更是使用非常方便，而且带着耳朵也很舒服，没有任何不适，非常不错的产品，值得购买。,5,小钱包-流光银,2024-10-31,广东,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/243007/26/22648/2314298/6722e9afFb85aa111/9dfbcb9a2f6160fc.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/235409/15/26807/2265714/6722e9b0Fed86786f/f2b255adc3018d44.jpg']"
47ce0aa97780a7b115239c6da9a29c52,PLUS会员,"舒适度：舒适柔软亲肤，真的很轻，连续佩戴两三个小时都没有明显的感觉，做到了随时随地可以佩戴
续航能力：续航很棒，实测一周多，找到没有出现任何没电几个
做工质感：黑白设计，这个很漂亮，但是我更喜欢紫色那个，可惜没货
其他特色：智能体体验真的很好，豆包的模型真的强",5,小钱包-轻羽白,2024-10-27,北京,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/94294/32/54492/2856323/671e1cb4F2249820d/f426fdddef77fbd2.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/129593/13/48058/2605273/671e1cb4F2bbf33f7/d7a6b7cdcded8942.jpg']"
e5514494b5c75bec2baf60f0e7ffd700,PLUS会员,续航能力强，音质音效听起来特别舒服，非常适合人耳传导，戴着非常舒服，降噪效果好，充电简单，外观颜值高，非常值得信赖，包装结实，快递特别给力,5,小钱包-流光银,2024-11-01,北京,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/204179/38/48180/3083428/6724c2b0F82409647/181d04e20083e640.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/164050/8/51220/3101184/6724c2b1F45766add/96d456280133915e.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/164469/17/36055/3356346/6724c2b2F50afa4e4/d0c8f2143503582e.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/123404/8/51070/3115622/6724c2b3F720565cd/5a75534814a6fbee.jpg']"
0b9f8cda371046a56e342f093c849ecb,PLUS会员,"收到用过三天再来评价。
耳机外形比较精巧，戴着轻巧也不觉得有负担，收到货用了2天，要充电了。
不过如果不听音乐的话，可以带一只耳机，这样，另外一只也可以多用一些
听音乐，音质音效也都OK。
连接豆包使用可以随时问问题，还挺方便的。
不足之处是有时会莫名其妙断开，有时就在原地过了一阵子，也断开了，在对话的时候就需要拿手机去重新点开豆包APP，这样次数如果多的话，就会觉得跟直接使用豆包APP好像区别不大。
总体来说还不错。",5,小钱包-轻羽白,2024-10-25,广东,"['https://img30.360buyimg.com/n0/s48x48_jfs/t1/219978/15/44910/1647996/671ae578F645c2b0d/ff7a4dd3a79d0057.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/150356/11/47687/1861215/671ae579F3eb02bde/d6ef8c6c641bf37e.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/198800/18/46694/2054104/671ae57aFc9128c5c/012dba2a79c35394.jpg', 'https://img30.360buyimg.com/n0/s48x48_jfs/t1/131669/15/50416/1876645/671ae57bF856b2542/db29ea43053c5824.jpg']"
